Stagione,Competizione,Turno,Girone,Data,Casa,GolCasa,GolFuori,Fuori,FPCasa,FPFuori
2025-26,campionato,Giornata 1,,2025-09-13,SMT,1,1,ROB,70.0,70.5
2025-26,campionato,Giornata 1,,2025-09-13,SUB,0,3,RMO,66.0,81.0
2025-26,campionato,Giornata 1,,2025-09-13,ARR,1,2,SAM,69.5,74.0
2025-26,campionato,Giornata 1,,2025-09-13,PRS,3,0,MGP,81.0,65.0
2025-26,campionato,Giornata 1,,2025-09-13,DSP,2,2,AVL,74.0,77.5
2025-26,campionato,Giornata 2,,2025-09-19,RMO,2,3,SMT,75.0,81.0
2025-26,campionato,Giornata 2,,2025-09-19,MGP,0,0,DSP,58.5,63.5
2025-26,campionato,Giornata 2,,2025-09-19,SAM,2,2,PRS,73.0,74.0
2025-26,campionato,Giornata 2,,2025-09-19,ROB,3,2,ARR,80.5,74.0
2025-26,campionato,Giornata 2,,2025-09-19,AVL,2,4,SUB,73.5,83.0
2025-26,campionato,Giornata 3,,2025-09-27,SMT,2,1,AVL,73.0,69.5
2025-26,campionato,Giornata 3,,2025-09-27,SUB,2,1,MGP,73.0,71.0
2025-26,campionato,Giornata 3,,2025-09-27,ARR,1,3,RMO,68.0,80.5
2025-26,campionato,Giornata 3,,2025-09-27,ROB,3,2,SAM,80.0,74.0
2025-26,campionato,Giornata 3,,2025-09-27,DSP,0,3,PRS,66.0,78.5
2025-26,campionato,Giornata 4,,2025-10-03,RMO,0,2,ROB,64.5,73.0
2025-26,campionato,Giornata 4,,2025-10-03,PRS,5,1,SUB,87.0,71.5
2025-26,campionato,Giornata 4,,2025-10-03,MGP,0,4,SMT,63.5,85.5
2025-26,campionato,Giornata 4,,2025-10-03,SAM,2,0,DSP,74.0,67.0
2025-26,campionato,Giornata 4,,2025-10-03,AVL,1,1,ARR,69.5,70.5
2025-26,campionato,Giornata 5,,2025-10-18,SMT,0,3,PRS,67.5,78.0
2025-26,campionato,Giornata 5,,2025-10-18,SUB,1,1,DSP,72.5,72.0
2025-26,campionato,Giornata 5,,2025-10-18,RMO,0,2,SAM,65.5,75.0
2025-26,campionato,Giornata 5,,2025-10-18,ARR,2,1,MGP,75.5,71.5
2025-26,campionato,Giornata 5,,2025-10-18,ROB,0,1,AVL,67.0,71.5
2025-26,campionato,Giornata 6,,2025-10-24,PRS,0,0,ARR,65.5,64.5
2025-26,campionato,Giornata 6,,2025-10-24,MGP,2,1,ROB,73.0,69.5
