Stagione,Competizione,Turno,Girone,Data,Casa,GolCasa,GolFuori,Fuori,FPCasa,FPFuori
2025-26,coppa-italia,Quarti Andata,,2025-11-28,SMT,0,0,RMO,67.5,63.0
2025-26,coppa-italia,Quarti Andata,,2025-11-28,PRS,1,4,DSP,71.5,85.0
2025-26,coppa-italia,Quarti Andata,,2025-11-28,AVL,0,0,SUB,67.0,67.0
2025-26,coppa-italia,Quarti Andata,,2025-11-28,SAM,2,2,ROB,75.5,73.5
2025-26,coppa-italia,Quarti Ritorno,,2025-12-06,RMO,3,5,SMT,82.0,87.5
2025-26,coppa-italia,Quarti Ritorno,,2025-12-06,DSP,0,0,PRS,66.0,63.0
2025-26,coppa-italia,Quarti Ritorno,,2025-12-06,SUB,1,0,AVL,72.5,65.0
2025-26,coppa-italia,Quarti Ritorno,,2025-12-06,ROB,2,0,SAM,77.0,64.5
2025-26,coppa-italia,Semifinali Andata,,2025-12-12,SMT,3,0,ROB,82.0,65.0
2025-26,coppa-italia,Semifinali Andata,,2025-12-12,DSP,1,2,SUB,71.5,76.0
2025-26,coppa-italia,Semifinali Ritorno,,2025-12-27,ROB,0,3,SMT,67.0,81.0
2025-26,coppa-italia,Semifinali Ritorno,,2025-12-27,SUB,2,5,DSP,74.5,87.5
2025-26,coppa-italia,Finale,,2026-01-02,SMT,1,1,DSP,69.5,72.5
2025-26,coppa-italia,Finale 3/4,,2026-01-02,ROB,1,1,SUB,68.5,70.5
