Stagione,Competizione,Turno,Girone,Data,Casa,GolCasa,GolFuori,Fuori,FPCasa,FPFuori
2025-26,qualificazione-champions,Giornata 1,A,2026-02-06,DSP,2,3,MGP,73.0,78.5
2025-26,qualificazione-champions,Giornata 1,A,2026-02-06,SUB,2,4,RMO,77.0,85.0
2025-26,qualificazione-champions,Giornata 2,A,2026-02-13,MGP,0,3,ARR,67.0,78.5
2025-26,qualificazione-champions,Giornata 2,A,2026-02-13,RMO,3,0,DSP,80.0,63.0
2025-26,qualificazione-champions,Giornata 3,A,2026-02-20,SUB,3,1,ARR,80.0,70.5
2025-26,qualificazione-champions,Giornata 3,A,2026-02-20,RMO,6,0,MGP,92.5,66.5
2025-26,qualificazione-champions,Giornata 4,A,2026-02-27,SUB,4,3,MGP,85.0,79.0
2025-26,qualificazione-champions,Giornata 4,A,2026-02-27,ARR,0,2,DSP,63.5,74.5
2025-26,qualificazione-champions,Giornata 5,A,2026-03-06,DSP,4,1,SUB,84.5,71.5
2025-26,qualificazione-champions,Giornata 5,A,2026-03-06,RMO,4,3,ARR,83.0,78.0
2025-26,qualificazione-champions,Giornata 6,A,2026-03-13,RMO,2,0,SUB,75.0,60.5
2025-26,qualificazione-champions,Giornata 6,A,2026-03-13,MGP,2,3,DSP,73.0,82.5
2025-26,qualificazione-champions,Giornata 7,A,2026-03-20,DSP,1,1,RMO,71.5,70.5
2025-26,qualificazione-champions,Giornata 7,A,2026-03-20,ARR,0,1,MGP,63.0,72.0
2025-26,qualificazione-champions,Giornata 8,A,2026-04-04,MGP,2,1,RMO,74.5,71.0
2025-26,qualificazione-champions,Giornata 8,A,2026-04-04,ARR,2,2,SUB,75.5,73.5
2025-26,qualificazione-champions,Giornata 9,A,2026-04-10,DSP,1,3,ARR,68.0,78.5
2025-26,qualificazione-champions,Giornata 9,A,2026-04-10,MGP,3,1,SUB,80.5,72.0
2025-26,qualificazione-champions,Giornata 10,A,2026-04-17,ARR,2,0,RMO,73.0,61.5
2025-26,qualificazione-champions,Giornata 10,A,2026-04-17,SUB,2,2,DSP,75.5,75.0
2025-26,qualificazione-champions,Giornata 1,B,2026-02-06,SAM,1,3,PRS,72.0,78.5
2025-26,qualificazione-champions,Giornata 1,B,2026-02-06,ROB,3,2,SMT,78.5,77.0
2025-26,qualificazione-champions,Giornata 2,B,2026-02-13,PRS,1,3,AVL,70.0,78.5
2025-26,qualificazione-champions,Giornata 2,B,2026-02-13,SMT,1,0,SAM,68.5,65.5
2025-26,qualificazione-champions,Giornata 3,B,2026-02-20,ROB,2,2,AVL,75.0,77.5
2025-26,qualificazione-champions,Giornata 3,B,2026-02-20,SMT,3,1,PRS,78.5,68.5
2025-26,qualificazione-champions,Giornata 4,B,2026-02-27,ROB,1,0,PRS,70.0,67.0
2025-26,qualificazione-champions,Giornata 4,B,2026-02-27,AVL,0,3,SAM,65.5,79.5
2025-26,qualificazione-champions,Giornata 5,B,2026-03-06,SAM,2,0,ROB,75.0,62.5
2025-26,qualificazione-champions,Giornata 5,B,2026-03-06,SMT,4,0,AVL,86.0,65.5
2025-26,qualificazione-champions,Giornata 6,B,2026-03-13,SMT,1,2,ROB,70.5,76.0
2025-26,qualificazione-champions,Giornata 6,B,2026-03-13,PRS,1,2,SAM,68.5,75.0
2025-26,qualificazione-champions,Giornata 7,B,2026-03-20,SAM,7,0,SMT,98.5,63.0
2025-26,qualificazione-champions,Giornata 7,B,2026-03-20,AVL,2,2,PRS,73.0,73.5
2025-26,qualificazione-champions,Giornata 8,B,2026-04-04,PRS,3,2,SMT,78.0,75.5
2025-26,qualificazione-champions,Giornata 8,B,2026-04-04,AVL,3,2,ROB,80.5,74.5
2025-26,qualificazione-champions,Giornata 9,B,2026-04-10,SAM,1,2,AVL,71.5,73.5
2025-26,qualificazione-champions,Giornata 9,B,2026-04-10,PRS,3,2,ROB,78.0,76.0
2025-26,qualificazione-champions,Giornata 10,B,2026-04-17,AVL,1,0,SMT,70.0,67.0
2025-26,qualificazione-champions,Giornata 10,B,2026-04-17,ROB,0,1,SAM,61.5,70.5
